*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:12

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0145 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1991 005   150   169    119    285    684     1    25   137  0.214  0.364  0.401  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1991 006   151   169    119    285    684     1    25   137  0.211  0.362  0.400  0.429  0.415  0.376  0.254  0.338  0.000  0.000
 1991 007   152   168    119    285    684     1    25   137  0.208  0.361  0.400  0.428  0.415  0.376  0.254  0.338  0.000  0.000
 1991 008   153   168    119    285    684     1    25   137  0.205  0.359  0.399  0.428  0.415  0.376  0.254  0.338  0.000  0.000
 1991 009   154   167    119    285    684     1    25   137  0.202  0.358  0.398  0.427  0.415  0.376  0.254  0.338  0.000  0.000
 1991 010   155   172    119    285    690     1    25   137  0.303  0.356  0.397  0.427  0.415  0.376  0.254  0.338  0.000  0.000
 1991 011   156   171    119    285    690     1    25   137  0.294  0.356  0.396  0.427  0.415  0.376  0.254  0.338  0.000  0.000
 1991 012   157   171    119    285    690     1    25   137  0.287  0.355  0.396  0.426  0.415  0.376  0.254  0.338  0.000  0.000
 1991 013   158   170    119    285    690     1    25   137  0.281  0.354  0.395  0.426  0.415  0.376  0.254  0.338  0.000  0.000
 1991 014   159   170    119    285    690     1    25   137  0.275  0.353  0.394  0.425  0.415  0.376  0.254  0.338  0.000  0.000
 1991 015   160   169    119    285    690     1    25   137  0.270  0.352  0.394  0.425  0.415  0.376  0.254  0.338  0.000  0.000
 1991 016   161   169    119    285    690     1    25   137  0.265  0.351  0.393  0.425  0.415  0.376  0.254  0.338  0.000  0.000
 1991 017   162   168    119    285    690     1    25   137  0.261  0.350  0.392  0.424  0.415  0.376  0.254  0.338  0.000  0.000
 1991 018   163   168    119    285    690     1    25   137  0.257  0.349  0.392  0.424  0.415  0.376  0.254  0.338  0.000  0.000
 1991 019   164   167    119    285    690     1    25   137  0.253  0.348  0.391  0.424  0.414  0.376  0.254  0.338  0.000  0.000
 1991 020   165   167    119    285    690     1    25   137  0.249  0.348  0.391  0.423  0.414  0.376  0.254  0.338  0.000  0.000
 1991 021   166   199    138    286    744     1    25   137  0.422  0.440  0.443  0.448  0.424  0.377  0.255  0.340  0.000  0.000
 1991 022   167   198    138    287    752     1    25   137  0.297  0.438  0.444  0.461  0.435  0.381  0.257  0.343  0.000  0.000
 1991 023   168   184    138    298    752     1    25   137  0.259  0.412  0.426  0.444  0.424  0.377  0.255  0.339  0.000  0.000
 1991 024   169   178    138    303    752     1    25   137  0.246  0.399  0.417  0.435  0.419  0.375  0.255  0.338  0.000  0.000
 1991 025   170   175    138    305    752     1    25   137  0.239  0.392  0.412  0.431  0.416  0.375  0.255  0.338  0.000  0.000
