*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:12

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0145 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   SNW0C   SNW1C
 1990 284    64    61    5.0      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.78   0.00   0.00      0      0  102.8   0.19   0.15    0.0   0.83   0.04   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 285    65    62    5.2      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.78   0.00   0.00      0      0  102.8   0.19   0.15    0.0   0.83   0.04   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 286    66    63    5.3      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.79   0.00   0.00      0      0  102.8   0.20   0.15    0.0   0.83   0.04   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 287    67    64    5.4      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.79   0.00   0.00      0      0  102.9   0.20   0.15    0.0   0.83   0.04   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 288    68    65    5.6      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.79   0.00   0.00      0      0  102.9   0.20   0.15    0.0   0.83   0.03   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 289    69    66    5.6      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.79   0.00   0.00      0      0  102.9   0.21   0.15    0.0   0.83   0.03   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 290    70    67    5.8      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.79   0.00   0.00      0      0  102.9   0.21   0.15    0.0   0.83   0.03   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 291    71    68    5.9      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.79   0.00   0.00      0      0  103.0   0.22   0.15    0.0   0.83   0.03   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 292    72    69    6.1      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.79   0.00   0.00      0      0  103.0   0.22   0.15    0.0   0.83   0.03   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 293    73    70    6.3      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.80   0.00   0.00      0      0  103.0   0.23   0.15    0.0   0.83   0.03   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 294    74    71    6.5      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.80   0.00   0.00      0      0  103.1   0.24   0.15    0.0   0.83   0.03   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 295    75    72    6.7      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.80   0.00   0.00      0      0  103.1   0.25   0.15    0.0   0.83   0.03   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 296    76    73    6.9      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.80   0.00   0.00      0      0  103.1   0.26   0.15    0.0   0.83   0.03   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 297    77    74    7.1      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.80   0.00   0.00      0      0  103.2   0.26   0.15    0.0   0.83   0.03   0.06   0.05   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 298    78    75    7.2      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.81   0.00   0.00      0      0  103.2   0.27   0.15    0.0   0.83   0.03   0.06   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 299    79    76    7.4      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.81   0.00   0.00      0      0  103.2   0.28   0.15    0.0   0.83   0.03   0.06   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 300    80    77    7.7      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.81   0.00   0.00      0      0  103.3   0.29   0.15    0.0   0.83   0.03   0.06   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 301    81    78    7.9      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.81   0.00   0.00      0      0  103.3   0.30   0.15    0.0   0.83   0.03   0.06   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 302    82    79    8.2      0   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.81   0.00   0.00      0      0  103.4   0.31   0.15    0.0   0.83   0.03   0.06   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 303    83    80    8.4      1   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.82   0.00   0.00      0      0  103.4   0.33   0.15    0.0   0.83   0.03   0.06   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 304    84    81    8.6      1   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.82   0.00   0.00      0      0  103.4   0.34   0.15    0.0   0.83   0.03   0.06   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 305    85    82    8.8      1   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.82   0.00   0.00      0      0  103.5   0.35   0.15    0.0   0.83   0.03   0.06   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 306    86    83    9.0      1   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.82   0.00   0.00      0      0  103.5   0.36   0.15    0.0   0.83   0.03   0.06   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       3
 1990 307    87    84    9.3      1   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.82   0.00   0.00      0      0  103.5   0.37   0.15    0.0   0.83   0.03   0.05   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       4
 1990 308    88    85    9.4      1   0.00      0      2      0      7      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.83   0.00   0.00      0      0  103.5   0.38   0.15    0.0   0.83   0.03   0.05   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       4
 1990 309    89    86    9.5      1   0.00      0      2      0      6      2      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.83   0.00   0.00      0      0  103.6   0.38   0.15    0.0   0.83   0.03   0.05   0.04   0.01   0.01   0.00   0.00   0.00   0.00   0.00       5       4
