*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 12, 2016; 12:55:20

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0197 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2001 266    16    0.0   12.1   13.0   13.4   26.8   0.46   23.5   14.5   18.8   20.3   14.5   18.8   20.3   86.4    330
 2001 267    17    4.0   12.1   13.0   11.9   23.8   0.53   26.4   16.7   21.4   22.9   16.7   21.4   22.9   86.4    330
 2001 268    18    9.0   12.1   13.0    6.6   13.2   0.74   19.3   11.2   15.1   16.4   11.2   15.1   16.4   86.4    330
 2001 269    19    0.0   12.2   13.1    9.9   19.8   0.61   17.5   10.4   13.8   15.0   10.4   13.8   15.0   86.4    330
 2001 270    20   11.0   12.2   13.1    6.7   13.4   0.74   15.3    9.8   12.4   13.4    9.8   12.4   13.4   86.4    330
 2001 271    21    0.0   12.2   13.1    6.9   13.8   0.73   21.0   13.6   17.2   18.4   13.6   17.2   18.4   86.4    330
 2001 272    22   60.0   12.3   13.2   12.0   24.0   0.54   21.3   16.0   18.6   19.4   16.0   18.6   19.4   86.4    330
 2001 273    23   21.0   12.3   13.2    6.9   13.8   0.74   19.1   16.2   17.6   18.1   16.2   17.6   18.1   86.4    330
 2001 274    24   80.0   12.3   13.2    6.9   13.8   0.74   19.0   16.3   17.6   18.1   16.3   17.6   18.1   86.4    330
 2001 275    25    3.0   12.4   13.3    8.1   16.2   0.69   17.8   14.0   15.8   16.5   14.0   15.8   16.5   86.4    330
 2001 276    26    2.5   12.4   13.3    7.9   15.8   0.70   19.6   13.3   16.4   17.4   13.3   16.4   17.4   86.4    330
 2001 277    27    2.0   12.4   13.4   13.2   26.4   0.51   21.2   14.2   17.6   18.8   14.2   17.6   18.8   86.4    330
 2001 278    28    0.0   12.5   13.4   19.2   38.4   0.29   19.6   13.4   16.4   17.5   13.4   16.4   17.5   86.4    330
 2001 279    29    0.0   12.5   13.4   17.0   34.0   0.37   20.2   13.5   16.8   17.9   13.5   16.8   17.9   86.4    330
