*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:27

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0397 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2000 283    51   7.50  18.10  12.20  1.646  1.646  0.041  1.605  0.000   95.0    1.9   93.1    0.0
 2000 284    52  24.80  18.20   9.10  5.298  5.077  0.226  4.852  0.000  100.1    2.1   97.9    0.0
 2000 285    53  25.40  21.20   8.00  5.594  3.324  0.251  3.073  0.000  103.4    2.4  101.0    0.0
 2000 286    54  23.00  27.20  16.20  5.839  1.719  0.278  1.441  0.000  105.1    2.7  102.4    0.0
 2000 287    55  23.10  21.80  11.90  5.298  1.389  0.280  1.109  0.000  106.5    3.0  103.5    0.0
 2000 288    56   7.50  19.70  13.80  1.701  1.032  0.096  0.936  0.000  107.5    3.1  104.5    0.0
 2000 289    57   8.20  19.90  12.40  1.841  1.841  0.071  1.770  0.000  109.4    3.1  106.3    0.0
 2000 290    58  11.40  23.30  14.40  2.716  2.665  0.176  2.488  0.000  112.0    3.3  108.7    0.0
 2000 291    59  11.30  22.00  16.50  2.693  2.693  0.121  2.572  0.000  114.7    3.4  111.3    0.0
 2000 292    60   7.80  23.60  16.30  1.891  1.847  0.144  1.703  0.000  116.6    3.6  113.0    0.0
 2000 293    61  13.30  19.70  16.50  3.075  3.075  0.162  2.913  0.000  119.7    3.7  115.9    0.0
 2000 294    62   7.80  26.60  15.60  1.946  1.946  0.110  1.836  0.000  121.6    3.8  117.8    0.0
 2000 295    63  20.50  27.50  15.20  5.143  3.898  0.510  3.388  0.000  125.5    4.3  121.2    0.0
 2000 296    64   8.10  19.70  16.10  1.858  1.858  0.139  1.718  0.000  127.4    4.5  122.9    0.0
 2000 297    65   8.20  18.80  14.70  1.834  1.834  0.150  1.684  0.000  129.2    4.6  124.6    0.0
 2000 298    66   7.90  22.00  14.20  1.830  1.830  0.162  1.669  0.000  131.0    4.8  126.2    0.0
