*SOIL TEMPERATURE OUTPUT FILE (DAILY)

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 19:11:27

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0384 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  TS1D  TS2D  TS3D  TS4D  TS5D  TS6D  TS7D  TS8D  TS9D  TS10
 2000 271    39  16.0  15.9  15.8  15.9  16.2  16.6  17.0  17.2   0.0   0.0
 2000 272    40  17.0  16.8  16.5  16.5  16.6  16.8  17.1  17.3   0.0   0.0
 2000 273    41  19.4  18.8  18.1  17.7  17.5  17.4  17.5  17.5   0.0   0.0
 2000 274    42  21.6  20.7  19.6  18.8  18.3  18.0  17.8  17.8   0.0   0.0
 2000 275    43  23.3  22.2  20.8  19.6  19.0  18.4  18.1  18.0   0.0   0.0
 2000 276    44  22.6  21.6  20.3  19.3  18.7  18.2  18.0  17.9   0.0   0.0
 2000 277    45  21.5  20.7  19.6  18.7  18.3  17.9  17.8  17.8   0.0   0.0
 2000 278    46  20.2  19.5  18.6  18.0  17.7  17.6  17.6  17.6   0.0   0.0
 2000 279    47  18.9  18.4  17.8  17.4  17.2  17.2  17.3  17.4   0.0   0.0
 2000 280    48  17.9  17.5  17.0  16.8  16.8  16.9  17.2  17.3   0.0   0.0
 2000 281    49  18.2  17.8  17.3  17.0  16.9  17.0  17.2  17.3   0.0   0.0
 2000 282    50  18.7  18.2  17.6  17.2  17.1  17.1  17.3  17.4   0.0   0.0
 2000 283    51  18.6  18.1  17.5  17.2  17.0  17.1  17.2  17.4   0.0   0.0
 2000 284    52  18.6  18.1  17.5  17.1  17.0  17.1  17.2  17.3   0.0   0.0
 2000 285    53  19.1  18.5  17.8  17.4  17.2  17.2  17.3  17.4   0.0   0.0
 2000 286    54  20.1  19.4  18.5  17.9  17.6  17.4  17.5  17.5   0.0   0.0
 2000 287    55  20.1  19.3  18.5  17.9  17.6  17.4  17.4  17.5   0.0   0.0
 2000 288    56  20.3  19.6  18.7  18.0  17.7  17.5  17.5  17.5   0.0   0.0
 2000 289    57  20.4  19.7  18.7  18.1  17.7  17.5  17.5  17.5   0.0   0.0
 2000 290    58  20.6  19.8  18.9  18.1  17.8  17.5  17.5  17.5   0.0   0.0
 2000 291    59  19.7  19.0  18.2  17.7  17.4  17.3  17.3  17.4   0.0   0.0
 2000 292    60  19.7  19.1  18.3  17.7  17.4  17.3  17.3  17.4   0.0   0.0
 2000 293    61  19.9  19.2  18.4  17.8  17.5  17.3  17.4  17.4   0.0   0.0
 2000 294    62  20.9  20.1  19.1  18.3  17.8  17.6  17.5  17.5   0.0   0.0
 2000 295    63  21.8  20.9  19.7  18.8  18.2  17.8  17.6  17.6   0.0   0.0
 2000 296    64  21.6  20.7  19.5  18.6  18.1  17.7  17.6  17.6   0.0   0.0
 2000 297    65  20.9  20.1  19.0  18.2  17.8  17.5  17.5  17.5   0.0   0.0
 2000 298    66  21.0  20.1  19.1  18.3  17.8  17.5  17.5  17.5   0.0   0.0
 2000 299    67  20.5  19.7  18.8  18.0  17.6  17.4  17.4  17.4   0.0   0.0
 2000 300    68  19.9  19.2  18.3  17.7  17.4  17.2  17.3  17.3   0.0   0.0
 2000 301    69  20.7  19.9  18.9  18.2  17.7  17.4  17.4  17.4   0.0   0.0
 2000 302    70  21.1  20.3  19.2  18.4  17.9  17.5  17.5  17.5   0.0   0.0
 2000 303    71  20.8  19.9  18.9  18.2  17.7  17.4  17.4  17.4   0.0   0.0
 2000 304    72  21.7  20.7  19.6  18.6  18.1  17.6  17.5  17.5   0.0   0.0
 2000 305    73  22.3  21.3  20.0  18.9  18.3  17.8  17.6  17.6   0.0   0.0
 2000 306    74  22.0  21.0  19.8  18.8  18.2  17.7  17.6  17.5   0.0   0.0
 2000 307    75  22.3  21.3  20.0  18.9  18.3  17.8  17.6  17.6   0.0   0.0
 2000 308    76  23.3  22.1  20.7  19.4  18.7  18.0  17.8  17.7   0.0   0.0
 2000 309    77  22.3  21.3  20.0  19.0  18.3  17.8  17.6  17.6   0.0   0.0
 2000 310    78  21.8  20.9  19.7  18.7  18.1  17.6  17.5  17.5   0.0   0.0
 2000 311    79  22.1  21.2  19.9  18.9  18.2  17.7  17.5  17.5   0.0   0.0
 2000 312    80  22.2  21.2  19.9  18.9  18.2  17.7  17.6  17.5   0.0   0.0
 2000 313    81  22.4  21.4  20.0  19.0  18.3  17.8  17.6  17.5   0.0   0.0
 2000 314    82  22.2  21.2  19.9  18.9  18.2  17.7  17.5  17.5   0.0   0.0
 2000 315    83  22.1  21.1  19.9  18.8  18.2  17.7  17.5  17.5   0.0   0.0
