*SOIL NITROGEN DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 17:50:38

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0265 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS  NAPC  NI#M    NLCC   NIAD    NOAD   NITD   NHTD  NI1D  NI2D  NI3D  NI4D  NI5D  NI6D  NI7D  NI8D  NI9D  NI10  NH1D  NH2D  NH3D  NH4D  NH5D  NH6D  NH7D  NH8D  NH9D  NH10    NMNC    NITC    NDNC    NIMC    AMLC
 1999 291    59     0     0     0.3   81.5   16615   67.8   13.7   2.0   6.5  11.3   8.4   6.0   1.4   1.6   1.5   0.0   0.0   0.1   0.6   1.3   0.6   0.6  1.60  0.53  0.31  0.00  0.00   31.42   41.14    0.01    0.00    0.00
 1999 292    60     0     0     0.3   81.7   16614   68.0   13.7   2.3   6.6  11.2   8.4   6.0   1.5   1.6   1.5   0.0   0.0   0.1   0.6   1.2   0.6   0.7  1.60  0.52  0.30  0.00  0.00   32.05   41.75    0.02    0.00    0.00
 1999 293    61     0     0     0.3   81.9   16613   68.3   13.5   2.5   6.6  11.2   8.4   6.0   1.5   1.6   1.5   0.0   0.0   0.1   0.5   1.2   0.6   0.7  1.59  0.51  0.30  0.00  0.00   32.73   42.47    0.02    0.00    0.00
 1999 294    62     0     0     0.3   82.0   16613   68.6   13.4   2.8   6.7  11.2   8.4   6.0   1.5   1.6   1.5   0.0   0.0   0.1   0.5   1.2   0.6   0.7  1.59  0.51  0.29  0.00  0.00   33.45   43.20    0.03    0.00    0.00
 1999 295    63     0     0     0.3   82.1   16612   68.8   13.3   3.1   6.7  11.2   8.4   6.0   1.5   1.6   1.5   0.0   0.0   0.1   0.5   1.1   0.6   0.7  1.58  0.50  0.29  0.00  0.00   34.19   43.96    0.03    0.00    0.00
 1999 296    64     0     0     0.3   82.2   16611   69.0   13.2   3.3   6.8  11.2   8.4   6.0   1.5   1.6   1.5   0.0   0.0   0.1   0.5   1.1   0.6   0.7  1.58  0.50  0.28  0.00  0.00   34.91   44.69    0.03    0.00    0.00
 1999 297    65     0     0     0.3   82.3   16610   69.2   13.1   3.6   6.8  11.1   8.4   6.0   1.5   1.6   1.5   0.0   0.0   0.1   0.5   1.1   0.6   0.7  1.57  0.49  0.28  0.00  0.00   35.62   45.44    0.03    0.00    0.00
 1999 298    66     0     0     0.3   82.3   16610   69.4   13.0   3.8   6.8  11.1   8.4   6.0   1.5   1.7   1.5   0.0   0.0   0.1   0.5   1.1   0.6   0.7  1.56  0.49  0.27  0.00  0.00   36.31   46.16    0.03    0.00    0.00
 1999 299    67     0     0     0.3   82.2   16609   69.4   12.8   4.0   6.9  11.0   8.4   6.0   1.5   1.7   1.5   0.0   0.0   0.1   0.5   1.1   0.6   0.7  1.56  0.48  0.27  0.00  0.00   36.97   46.84    0.03    0.00    0.00
 1999 300    68     0     0     0.3   81.7   16608   69.0   12.7   4.2   6.8  10.9   8.3   5.9   1.5   1.7   1.5   0.0   0.0   0.1   0.5   1.0   0.6   0.7  1.54  0.48  0.26  0.00  0.00   37.61   47.50    0.03    0.00    0.00
 1999 301    69     0     0     0.3   80.9   16608   68.5   12.5   4.3   6.8  10.7   8.2   5.9   1.5   1.7   1.5   0.0   0.0   0.1   0.5   1.0   0.6   0.6  1.52  0.48  0.26  0.00  0.00   38.26   48.16    0.03    0.00    0.00
 1999 302    70     0     0     0.3   80.2   16607   67.9   12.3   4.5   6.7  10.5   8.2   5.8   1.5   1.7   1.5   0.0   0.0   0.1   0.5   1.0   0.5   0.6  1.50  0.47  0.25  0.00  0.00   38.94   48.85    0.03    0.00    0.00
 1999 303    71     0     0     0.3   79.1   16606   67.1   12.0   4.6   6.7  10.2   8.0   5.8   1.5   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.5   0.6  1.48  0.47  0.25  0.00  0.00   39.65   49.56    0.03    0.00    0.00
 1999 304    72     0     0     0.3   78.4   16606   66.5   11.8   4.8   6.6  10.0   8.0   5.7   1.5   1.7   1.5   0.0   0.0   0.1   0.5   0.9   0.5   0.6  1.46  0.47  0.25  0.00  0.00   40.36   50.26    0.03    0.00    0.00
 1999 305    73     0     0     0.3   77.0   16605   65.5   11.6   4.9   6.6   9.7   7.8   5.6   1.5   1.6   1.5   0.0   0.0   0.1   0.4   0.9   0.5   0.6  1.43  0.46  0.24  0.00  0.00   41.07   50.95    0.03    0.00    0.00
 1999 306    74     0     0     0.3   76.3   16604   64.9   11.4   5.0   6.5   9.5   7.7   5.6   1.5   1.6   1.5   0.0   0.0   0.1   0.4   0.9   0.5   0.6  1.41  0.46  0.24  0.00  0.00   41.76   51.61    0.03    0.00    0.00
 1999 307    75     0     0     0.3   74.2   16604   63.1   11.1   5.1   6.4   9.1   7.5   5.4   1.5   1.6   1.5   0.0   0.0   0.1   0.4   0.8   0.5   0.5  1.37  0.46  0.23  0.00  0.00   42.44   52.25    0.03    0.00    0.00
 1999 308    76     0     0     0.3   72.0   16603   61.2   10.8   5.1   6.2   8.6   7.3   5.2   1.4   1.6   1.5   0.0   0.0   0.1   0.4   0.8   0.5   0.5  1.33  0.45  0.23  0.00  0.00   43.08   52.85    0.03    0.00    0.00
 1999 309    77     0     0     0.3   71.6   16602   60.9   10.7   5.3   6.2   8.5   7.3   5.2   1.4   1.6   1.5   0.0   0.0   0.1   0.4   0.8   0.5   0.5  1.32  0.45  0.23  0.00  0.00   43.70   53.40    0.03    0.00    0.00
 1999 310    78     0     0     0.3   69.1   16602   58.7   10.4   5.3   6.0   8.0   7.0   5.0   1.4   1.6   1.5   0.0   0.0   0.1   0.4   0.7   0.5   0.5  1.27  0.45  0.22  0.00  0.00   44.29   53.94    0.03    0.00    0.00
 1999 311    79     0     0     0.3   65.9   16601   55.9   10.0   5.2   5.7   7.4   6.7   4.8   1.3   1.5   1.5   0.0   0.0   0.1   0.4   0.7   0.5   0.5  1.20  0.44  0.22  0.00  0.00   44.88   54.48    0.03    0.00    0.00
 1999 312    80     0     0     0.3   64.0   16601   54.2    9.8   5.2   5.6   7.0   6.5   4.6   1.3   1.5   1.4   0.0   0.0   0.1   0.4   0.7   0.5   0.5  1.17  0.44  0.22  0.00  0.00   45.45   54.98    0.03    0.00    0.00
 1999 313    81     0     0     0.3   61.8   16600   52.2    9.6   5.2   5.4   6.6   6.3   4.4   1.2   1.4   1.4   0.0   0.0   0.1   0.4   0.6   0.5   0.5  1.12  0.44  0.22  0.00  0.00   46.00   55.46    0.03    0.00    0.00
 1999 314    82     0     0     0.3   59.6   16600   50.3    9.3   5.2   5.2   6.2   6.1   4.2   1.2   1.4   1.4   0.0   0.0   0.1   0.4   0.6   0.5   0.5  1.07  0.44  0.21  0.00  0.00   46.54   55.93    0.03    0.00    0.00
 1999 315    83     0     0     0.3   57.1   16599   48.0    9.1   5.1   5.0   5.8   5.8   4.0   1.1   1.3   1.4   0.0   0.0   0.1   0.4   0.6   0.5   0.5  1.02  0.43  0.21  0.00  0.00   47.06   56.39    0.03    0.00    0.00
 1999 316    84     0     0     0.3   53.2   16598   44.6    8.6   5.0   4.7   5.3   5.4   3.7   1.1   1.3   1.3   0.0   0.0   0.1   0.4   0.5   0.5   0.5  0.94  0.43  0.21  0.00  0.00   47.56   56.82    0.03    0.00    0.00
 1999 317    85     0     0     0.3   48.8   16598   40.6    8.2   4.9   4.3   4.6   4.9   3.3   0.9   1.2   1.3   0.0   0.0   0.1   0.4   0.5   0.5   0.5  0.84  0.43  0.20  0.00  0.00   48.07   57.27    0.03    0.00    0.00
 1999 318    86     0     0     0.3   44.4   16597   36.7    7.7   4.8   3.9   4.1   4.5   2.9   0.8   1.1   1.2   0.0   0.0   0.1   0.4   0.5   0.5   0.5  0.74  0.43  0.20  0.00  0.00   48.61   57.74    0.03    0.00    0.00
 1999 319    87     0     0     0.3   40.5   16597   33.2    7.4   4.7   3.6   3.6   4.0   2.6   0.7   1.0   1.1   0.0   0.0   0.1   0.3   0.5   0.5   0.5  0.65  0.42  0.20  0.00  0.00   49.17   58.24    0.03    0.00    0.00
 1999 320    88     0     0     0.3   37.1   16596   30.1    7.0   4.6   3.4   3.2   3.6   2.3   0.6   0.9   1.1   0.0   0.0   0.1   0.3   0.5   0.5   0.5  0.58  0.42  0.20  0.00  0.00   49.75   58.76    0.03    0.00    0.00
 1999 321    89     0     0     0.3   34.2   16596   27.5    6.7   4.6   3.1   2.9   3.3   2.0   0.6   0.8   1.0   0.0   0.0   0.1   0.3   0.5   0.5   0.5  0.51  0.42  0.20  0.00  0.00   50.33   59.29    0.03    0.00    0.00
 1999 322    90     0     0     0.3   31.9   16595   25.2    6.7   4.6   3.0   2.6   3.0   1.8   0.5   0.7   1.0   0.0   0.0   0.1   0.3   0.5   0.5   0.5  0.52  0.42  0.19  0.00  0.00   50.89   59.80    0.03    0.00    0.00
 1999 323    91     0     0     0.3   30.1   16595   23.5    6.6   4.6   2.8   2.4   2.7   1.6   0.5   0.7   0.9   0.0   0.0   0.1   0.3   0.5   0.5   0.5  0.51  0.42  0.19  0.00  0.00   51.44   60.31    0.03    0.00    0.00
 1999 324    92     0     0     0.3   28.6   16594   22.0    6.6   4.7   2.7   2.2   2.4   1.4   0.5   0.6   0.8   0.0   0.0   0.1   0.3   0.5   0.5   0.5  0.51  0.41  0.19  0.00  0.00   51.97   60.81    0.03    0.00    0.00
 1999 325    93     0     0     0.3   27.2   16594   20.7    6.5   4.7   2.5   2.0   2.2   1.3   0.5   0.5   0.8   0.0   0.0   0.1   0.3   0.5   0.5   0.5  0.51  0.41  0.19  0.00  0.00   52.49   61.30    0.03    0.00    0.00
