*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2000 019   152   149   262.1   154.9    65.0    6.53    1.83    232.0   140.1    39.0    26.0    3.30    1.09     2.3    1.0    4.0   57.93    6.95
 2000 020   153   150   266.7   163.5    62.9    6.54    1.78    236.1   140.9    37.8    25.1    3.23    1.06     2.2    1.0    4.1   58.32    7.03
 2000 021   154   151   270.3   170.9    60.9    6.56    1.74    239.7   141.1    36.6    24.3    3.17    1.04     2.2    1.0    3.6   58.65    7.12
 2000 022   155   152   271.4   175.8    58.8    6.56    1.70    240.1   142.0    35.4    23.5    3.11    1.01     2.1    1.0    0.5   59.02    7.20
 2000 023   156   153   275.9   183.8    57.0    6.56    1.66    244.1   142.8    34.3    22.7    3.04    0.98     2.0    1.0    3.9   59.27    7.28
 2000 024   157   154   279.2   190.4    55.2    6.56    1.62    246.3   144.0    33.2    22.0    2.98    0.96     1.9    1.0    2.2   59.47    7.35
 2000 025   158   155   280.0   194.3    53.4    6.44    1.57    246.3   144.9    32.2    21.3    2.91    0.92     1.9    1.0    0.0   59.64    7.43
 2000 026   159   156   272.8   197.5    44.2    6.34    1.44    246.3   145.2    24.8    19.4    2.81    0.88     1.8    1.0    0.0   67.26    7.49
 2000 027   160   157   267.9   201.1    37.0    6.25    1.33    246.3   146.1    19.1    17.9    2.73    0.86     1.7    1.0    0.0   73.13    7.55
 2000 028   161   158   263.7   203.7    31.5    6.18    1.23    246.3   146.4    14.8    16.7    2.66    0.83     1.7    1.0    0.0   77.65    7.63
