*SOIL WATER DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 11, 2016; 19:59:17

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0147 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS  SWXD   ROFC   DRNC   PREC  IR#C  IRRC  DTWT   SW1D   SW2D   SW3D   SW4D   SW5D   SW6D   SW7D   SW8D   SW9D   SW10
 1991 002   147   138      6    175    684     1    42   125  0.428  0.480  0.498  0.407  0.401  0.386  0.374  0.365  0.000  0.000
 1991 003   148   131      6    175    684     1    42   125  0.413  0.472  0.491  0.402  0.396  0.383  0.371  0.362  0.000  0.000
 1991 004   149   125      6    175    684     1    42   125  0.402  0.462  0.483  0.396  0.389  0.380  0.368  0.359  0.000  0.000
 1991 005   150   119      6    175    684     1    42   125  0.393  0.453  0.475  0.389  0.384  0.377  0.365  0.356  0.000  0.000
 1991 006   151   112      6    175    684     1    42   125  0.385  0.443  0.466  0.382  0.380  0.374  0.363  0.353  0.000  0.000
 1991 007   152   106      6    175    684     1    42   125  0.377  0.433  0.456  0.377  0.376  0.371  0.360  0.351  0.000  0.000
 1991 008   153   128      6    175    684     2    72   125  0.532  0.559  0.489  0.372  0.372  0.368  0.357  0.348  0.000  0.000
 1991 009   154   126      6    175    684     2    72   125  0.526  0.536  0.495  0.373  0.371  0.367  0.356  0.347  0.000  0.000
 1991 010   155   125      6    175    690     2    72   125  0.528  0.543  0.498  0.371  0.368  0.365  0.354  0.345  0.000  0.000
 1991 011   156   119      6    175    690     2    72   125  0.497  0.523  0.493  0.370  0.366  0.363  0.353  0.344  0.000  0.000
 1991 012   157   113      6    175    690     2    72   125  0.462  0.503  0.485  0.368  0.364  0.361  0.351  0.342  0.000  0.000
 1991 013   158   109      6    175    690     2    72   125  0.454  0.488  0.479  0.367  0.363  0.360  0.350  0.341  0.000  0.000
 1991 014   159   102      6    175    690     2    72   125  0.407  0.473  0.469  0.365  0.361  0.358  0.349  0.339  0.000  0.000
