*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 16:12:08

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0027 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 1990 360   169   166  125.9   49.8   76.1   1.28   0.96  173.4   35.9   40.2    1.0   0.96   0.65    0.00   14.12
 1990 361   170   167  126.3   52.2   74.1   1.27   0.94  174.2   35.2   38.9    0.9   0.94   0.66    0.00   14.35
 1990 362   171   168  126.7   53.7   73.0   1.26   0.92  174.8   34.4   38.6    0.9   0.92   0.66    0.00   14.59
 1990 363   172   169  127.0   55.2   71.9   1.25   0.91  175.5   33.9   38.0    0.9   0.91   0.66    0.00   14.83
 1990 364   173   170  127.4   57.5   69.9   1.24   0.88  176.1   33.0   36.9    0.9   0.88   0.66    0.00   15.07
 1990 365   174   171  127.7   60.4   67.3   1.23   0.85  176.6   31.7   35.6    0.8   0.85   0.66    0.00   15.31
 1991 001   175   172  128.0   63.2   64.8   1.22   0.82  177.2   30.7   34.0    0.8   0.82   0.67    0.00   15.56
 1991 002   176   173  128.3   66.0   62.3   1.21   0.79  177.7   29.4   32.9    0.8   0.79   0.67    0.00   15.80
 1991 003   177   174  128.6   68.5   60.1   1.19   0.76  178.2   28.3   31.7    0.8   0.76   0.68    0.00   16.05
 1991 004   178   175  128.9   71.1   57.8   1.18   0.73  178.7   27.3   30.5    0.7   0.73   0.68    0.00   16.29
 1991 005   179   176  129.2   73.6   55.6   1.16   0.70  179.2   26.2   29.4    0.7   0.70   0.69    0.00   16.54
 1991 006   180   177  129.5   75.7   53.8   1.15   0.68  179.7   25.4   28.4    0.7   0.68   0.69    0.00   16.79
 1991 007   181   178  129.8   78.0   51.8   1.14   0.65  180.2   24.4   27.4    0.7   0.65   0.70    0.00   17.04
 1991 008   182   179  130.2   80.3   49.9   1.12   0.63  180.8   23.7   26.3    0.6   0.63   0.70    0.00   17.29
 1991 009   183   180  130.5   82.4   48.1   1.11   0.62  181.3   23.1   25.0    0.6   0.62   0.71    0.00   17.54
 1991 010   184   181  130.8   84.4   46.5   1.09   0.60  181.9   22.5   24.0    0.6   0.60   0.72    0.00   17.79
 1991 011   185   182  131.1   86.0   45.1   1.08   0.58  182.3   21.8   23.3    0.6   0.58   0.72    0.00   18.04
 1991 012   186   183  131.3   87.6   43.7   1.07   0.56  182.7   21.1   22.6    0.6   0.56   0.73    0.00   18.29
 1991 013   187   184  131.5   89.0   42.5   1.06   0.55  183.1   20.6   21.9    0.6   0.55   0.73    0.00   18.55
 1991 014   188   185  131.7   90.3   41.4   1.05   0.54  183.4   20.1   21.3    0.5   0.54   0.74    0.00   18.80
 1991 015   189   186  132.1   91.6   40.5   1.04   0.53  183.9   19.9   20.6    0.5   0.53   0.74    0.00   19.06
 1991 016   190   187  132.3   92.5   39.8   1.03   0.52  184.3   19.6   20.2    0.5   0.52   0.75    0.00   19.31
 1991 017   191   188  132.5   93.4   39.1   1.02   0.51  184.7   19.3   19.9    0.5   0.51   0.75    0.00   19.57
 1991 018   192   189  132.7   94.3   38.4   1.01   0.51  185.0   19.2   19.3    0.5   0.51   0.76    0.00   19.83
 1991 019   193   190  132.9   95.1   37.8   0.99   0.51  185.3   19.1   18.7    0.5   0.51   0.76    0.00   20.08
 1991 020   194   191  132.9   95.1   37.8   0.99   0.51  185.6   19.1   18.7    0.5   0.51   0.76    0.00   20.08
 1991 021   195   192  132.9   95.1   37.8   0.99   0.51  185.9   19.1   18.7    0.5   0.51   0.76    0.00   20.08
 1991 022   196   193  132.9   95.1   37.8   0.99   0.51  186.2   19.1   18.7    0.5   0.51   0.76    0.00   20.08
 1991 023   197   194  132.9   95.1   37.8   0.99   0.51  186.5   19.1   18.7    0.5   0.51   0.76    0.00   20.08
