*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 16, 2016; 17:55:43

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0214 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD   GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD   LN%D   SH%D   HIPD   PWDD   PWTD     SLAD   CHTD   CWID   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   CDAD   LDAD   SDAD   SNW0C   SNW1C
 2000 366    64    61   18.0      3   1.73   1708   1715      0   2641   3424      0    0.0  0.000      0      0  0.000  0.000  0.061  0.000   1.60   0.00   0.00      0      0    101.4   0.00   0.00   0.75   0.58   4.00   4.00   4.00   4.00   1.42   0.00   0.00   0.00   0.00      0      0      0       0     267
 2001 001    65    62   18.0      3   1.80   1778   1946      0   2723   3724      0    0.0  0.000      0      0  0.000  0.000  0.065  0.000   1.51   0.00   0.00      0      0    101.0   0.00   0.00   0.77   0.58   4.00   4.00   4.00   4.00   1.61   0.00   0.00   0.00   0.00      0      0      0       0     281
 2001 002    66    63   18.0      3   1.86   1852   2190      0   2788   4043      0    0.0  0.000      0      0  0.000  0.000  0.073  0.000   1.41   0.00   0.00      0      0    100.4   0.00   0.00   0.78   0.57   4.00   4.00   4.00   4.00   1.79   0.00   0.00   0.00   0.00      0      0      0       0     294
 2001 003    67    64   18.0      4   1.84   1831   1913      0   2857   4330      0    0.0  0.000    586      0  0.000  0.000  0.085  0.000   1.55   0.00   0.14      0    586    100.5   0.00   0.00   0.80   0.57   4.00   4.00   4.00   4.00   2.01   0.00   0.00   0.00   0.00      0      0      0       0     308
 2001 004    68    65   18.0      4   1.82   1807   2007      0   2920   4637      0    0.0  0.000    823      0  0.000  0.000  0.097  0.000   1.54   0.00   0.18      0    823    100.6   0.00   0.00   0.82   0.78   4.00   4.00   4.00   4.00   2.22   0.00   0.00   0.00   0.00      0      0      0       0     322
 2001 005    69    66   18.0      4   1.80   1781   2111      0   2966   4975      0    0.0  0.000   1082      0  0.000  0.000  0.069  0.000   1.52   0.00   0.22      0   1082    101.2   0.00   0.00   0.82   0.78   4.00   4.00   4.00   4.00   2.39   0.00   0.00   0.00   0.00      0      0      0       0     337
 2001 006    70    67   18.0      4   1.79   1753   2184      0   2962   5203      0    0.0  0.000   1265      0  0.000  0.000  0.066  0.000   1.52   0.00   0.24      0   1265    102.0   0.00   0.00   0.82   0.82   4.00   4.00   4.00   4.00   2.41   0.00   0.00   0.00   0.00      0      0      0       0     352
 2001 007    71    68   18.0      4   1.77   1723   2242      0   2956   5373      0    0.0  0.000   1409      0  0.000  0.000  0.064  0.000   1.52   0.00   0.26      0   1409    102.9   0.00   0.00   0.82   0.86   4.00   4.00   3.99   3.99   2.41   0.00   0.00   0.00   0.00      0      0      0       0     367
 2001 008    72    69   18.0      4   1.76   1692   2324      0   2965   5628      0    0.0  0.000   1613      0  0.000  0.069  0.061  0.000   1.51   0.00   0.29      0   1613    104.1   0.00   0.00   0.82   0.99   4.00   4.00   4.00   4.00   2.43   0.00   0.00   0.00   0.00      0      0      0       0     381
 2001 009    73    70   18.0      4   1.74   1658   2369      0   3063   5753      0    0.0  0.000   1726      0  0.276  0.518  0.058  0.000   1.52   0.00   0.30      0   1726    104.7   0.00   0.00   0.82   1.59   4.00   4.00   4.00   4.00   2.54   0.00   0.00   0.00   0.00      0      0      0       0     396
 2001 010    74    71   18.0      4   1.72   1624   2434      0   3058   5946      0    0.0  0.000   1888      0  0.000  0.000  0.056  0.000   1.51   0.00   0.32      0   1888    106.1   0.00   0.00   0.82   1.63   4.00   4.00   4.00   4.00   2.54   0.00   0.00   0.00   0.00      0      0      0       0     412
