*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:53:16

*RUN   1        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0006 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 1990 361   177   174  160.5  105.4   55.1   1.41   0.73  208.5   24.3   30.8    0.7   0.73   0.91    0.00   14.11
 1990 362   178   175  161.4  106.9   54.4   1.40   0.72  209.6   24.1   30.4    0.7   0.72   0.91    0.00   14.35
 1990 363   179   176  162.1  108.3   53.8   1.40   0.71  210.5   23.8   30.0    0.7   0.71   0.91    0.00   14.59
 1990 364   180   177  162.8  110.2   52.5   1.38   0.70  211.4   23.2   29.3    0.7   0.70   0.91    0.00   14.83
 1990 365   181   178  163.4  112.7   50.7   1.37   0.67  212.3   22.4   28.3    0.7   0.67   0.91    0.00   15.07
 1991 001   182   179  164.1  115.2   48.9   1.35   0.65  213.1   21.6   27.3    0.6   0.65   0.92    0.00   15.32
 1991 002   183   180  164.8  117.6   47.2   1.33   0.63  213.9   20.9   26.3    0.6   0.63   0.93    0.00   15.56
 1991 003   184   181  165.5  119.9   45.6   1.32   0.61  214.8   20.3   25.4    0.6   0.61   0.93    0.00   15.80
 1991 004   185   182  166.2  121.8   44.4   1.30   0.59  215.7   19.7   24.8    0.6   0.59   0.94    0.00   16.05
 1991 005   186   183  167.0  123.6   43.3   1.29   0.57  216.6   19.1   24.2    0.6   0.57   0.94    0.00   16.29
 1991 006   187   184  167.7  125.5   42.1   1.27   0.56  217.4   18.6   23.5    0.6   0.56   0.95    0.00   16.54
 1991 007   188   185  167.7  125.5   42.1   1.27   0.56  218.2   18.6   23.5    0.6   0.56   0.95    0.00   16.54
 1991 008   189   186  167.7  125.5   42.1   1.27   0.56  219.1   18.6   23.5    0.6   0.56   0.95    0.00   16.54
 1991 009   190   187  167.7  125.5   42.1   1.27   0.56  219.9   18.6   23.5    0.6   0.56   0.95    0.00   16.54

*DSSAT Cropping System Model Ver. 4.0.2.000               Jul 19, 2016; 12:53:16

*RUN   2        : UYMZ                    
 MODEL          : MZCER040 - Maize           
 EXPERIMENT     : UYMZ0006 MZ    late to create DSS                             
 TREATMENT  1   : UYMZ                    

@YEAR DOY   DAS   DAP   CNAD   GNAD   VNAD   GN%D   VN%D   NUPC   LNAD   SNAD   LN%D   SN%D   RN%D   SNN0C   SNN1C
 1991 187     3     0    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 188     4     1    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 189     5     2    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 190     6     3    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 191     7     4    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 192     8     5    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 193     9     6    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 194    10     7    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 195    11     8    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 196    12     9    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 197    13    10    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 198    14    11    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 199    15    12    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 200    16    13    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
 1991 201    17    14    0.0    0.0    0.0   0.00   0.00    0.0    0.0    0.0    0.0   0.00   0.00    0.00    0.00
