*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 18:48:23

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0359 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 1999 356   124    0.0   14.1   15.2   32.3   64.6   0.02   28.3   15.8   22.2   24.0   15.8   22.2   24.0   86.4    330
 1999 357   125    0.0   14.1   15.2   32.5   65.0   0.01   27.7    9.2   18.6   21.3    9.2   18.6   21.3   86.4    330
 1999 358   126    0.0   14.1   15.2   29.1   58.2   0.12   34.0   13.6   24.0   27.0   13.6   24.0   27.0   86.4    330
 1999 359   127    0.0   14.1   15.2   30.9   61.8   0.06   37.2   17.9   27.7   30.5   17.9   27.7   30.5   86.4    330
 1999 360   128    0.0   14.1   15.2   20.6   41.2   0.37   39.4   20.8   30.3   33.0   20.8   30.3   33.0   86.4    330
 1999 361   129    1.0   14.1   15.2   20.6   41.2   0.37   38.3   24.3   31.4   33.5   24.3   31.4   33.5   86.4    330
 1999 362   130    1.0   14.1   15.1    9.1   18.2   0.72   24.7   21.0   22.9   23.4   21.0   22.9   23.4   86.4    330
 1999 363   131    3.4   14.0   15.1   14.3   28.6   0.57   25.0   18.1   21.6   22.6   18.1   21.6   22.6   86.4    330
 1999 364   132    0.0   14.0   15.1    9.1   18.2   0.72   25.6   18.0   21.9   23.0   18.0   21.9   23.0   86.4    330
 1999 365   133    0.0   14.0   15.1   29.1   58.2   0.11   29.5   14.1   21.9   24.2   14.1   21.9   24.2   86.4    330
 2000 001   134    0.0   14.0   15.1   31.3   62.6   0.05   29.8   13.2   21.6   24.1   13.2   21.6   24.1   86.4    330
 2000 002   135    0.0   14.0   15.1   28.9   57.8   0.12   30.2   14.0   22.2   24.6   14.0   22.2   24.6   86.4    330
 2000 003   136    0.0   14.0   15.1   32.1   64.2   0.02   30.5   13.3   22.0   24.5   13.3   22.0   24.5   86.4    330
 2000 004   137    0.0   14.0   15.1   28.6   57.2   0.13   30.7   12.9   21.9   24.5   12.9   21.9   24.5   86.4    330
 2000 005   138    0.0   14.0   15.1   28.9   57.8   0.12   32.6   16.3   24.6   27.6   16.3   24.6   27.6   86.4    330
 2000 006   139    0.0   14.0   15.1   32.1   64.2   0.02   34.3   15.3   24.9   28.5   15.3   24.9   28.5   86.4    330
 2000 007   140    0.0   14.0   15.1   31.3   62.6   0.04   35.6   18.1   27.0   30.2   18.1   27.0   30.2   86.4    330
 2000 008   141    0.0   14.0   15.0   33.0   66.0   0.00   37.0   17.4   27.3   31.0   17.4   27.3   31.0   86.4    330
 2000 009   142    0.8   13.9   15.0   21.2   42.4   0.35   36.8   20.0   28.5   31.6   20.0   28.5   31.6   86.4    330
 2000 010   143    1.0   13.9   15.0   25.3   50.6   0.22   34.2   19.2   26.8   29.6   19.2   26.8   29.6   86.4    330
 2000 011   144    0.0   13.9   15.0   32.1   64.2   0.01   34.8   17.6   26.3   29.5   17.6   26.3   29.5   86.4    330
 2000 012   145    0.0   13.9   15.0   25.6   51.2   0.21   36.0   18.6   27.4   30.6   18.6   27.4   30.6   86.4    330
 2000 013   146    8.0   13.9   15.0   29.4   58.8   0.09   37.2   19.1   28.3   31.6   19.1   28.3   31.6   86.4    330
 2000 014   147   27.5   13.9   15.0    9.0   18.0   0.72   24.0   20.7   22.4   23.0   20.7   22.4   23.0   86.4    330
 2000 015   148    0.0   13.9   14.9   21.9   43.8   0.32   31.8   21.0   26.5   28.4   21.0   26.5   28.4   86.4    330
 2000 016   149   11.5   13.8   14.9   22.4   44.8   0.31   34.0   20.4   27.3   29.8   20.4   27.3   29.8   86.4    330
 2000 017   150    0.0   13.8   14.9    9.9   19.8   0.69   28.6   20.6   24.6   26.1   20.6   24.6   26.1   86.4    330
 2000 018   151    0.0   13.8   14.9   31.0   62.0   0.04   30.9   16.8   23.9   26.5   16.8   23.9   26.5   86.4    330
 2000 019   152    0.0   13.8   14.9   30.3   60.6   0.06   30.9   17.3   24.2   26.7   17.3   24.2   26.7   86.4    330
