*SOIL-PLANT-ATMOSPHERE MODULE OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   SRAA   TMXA   TMNA   EOAA   ETAA   EPAA   ESAA   EFAD   ETAC   EPAC   ESAC   EFAC
 2001 011   139  32.10  22.60  13.00  6.829  6.829  3.639  3.189  0.000  500.9  227.6  273.3    0.0
 2001 012   140  31.60  23.70   9.90  6.644  6.644  4.011  2.633  0.000  507.5  231.6  276.0    0.0
 2001 013   141  23.50  27.60  13.10  5.323  5.323  3.306  2.017  0.000  512.8  234.9  278.0    0.0
 2001 014   142  17.00  30.30  20.40  4.197  4.197  2.199  1.998  0.000  517.0  237.1  280.0    0.0
 2001 015   143  25.70  28.30  20.60  6.220  6.220  3.237  2.983  0.000  523.3  240.3  282.9    0.0
 2001 016   144  23.10  29.90  19.80  5.661  5.661  3.612  2.048  0.000  528.9  243.9  285.0    0.0
 2001 017   145  14.90  26.50  20.10  3.526  3.526  1.810  1.716  0.000  532.4  245.7  286.7    0.0
 2001 018   146  12.60  25.00  21.50  2.964  2.964  1.511  1.453  0.000  535.4  247.2  288.2    0.0
 2001 019   147  14.80  26.40  18.00  3.447  3.447  1.744  1.703  0.000  538.9  249.0  289.9    0.0
 2001 020   148  30.30  25.80  14.10  6.801  6.502  4.433  2.070  0.000  545.4  253.4  291.9    0.0
 2001 021   149  30.60  26.30  12.40  6.821  6.463  4.417  2.046  0.000  551.8  257.8  294.0    0.0
 2001 022   150  13.90  28.10  14.80  3.227  3.227  1.916  1.311  0.000  555.1  259.8  295.3    0.0
 2001 023   151  30.60  30.50  17.90  7.477  5.827  4.781  1.047  0.000  560.9  264.5  296.3    0.0
 2001 024   152  29.90  32.20  16.30  7.362  5.572  4.675  0.898  0.000  566.5  269.2  297.2    0.0
 2001 025   153  28.50  32.30  19.70  7.203  5.342  4.543  0.798  0.000  571.8  273.8  298.0    0.0
 2001 026   154  22.70  33.40  20.30  5.833  5.833  3.248  2.585  0.000  577.6  277.0  300.6    0.0
 2001 027   155   9.90  25.50  21.60  2.358  2.358  1.128  1.229  0.000  580.0  278.1  301.9    0.0
