*PLANT N OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP    CNAD    GNAD    VNAD    GN%D    VN%D     NFXC    NUPC    LNAD    SNAD    LN%D    SN%D    SHND   RN%D   NFXD   SNN0C   SNN1C
 2001 032   160   157   241.2   183.1    31.4    6.16    1.28    181.6   172.3    16.5    14.9    2.71    0.81     1.7    1.0    0.0   61.74    7.38
 2001 033   161   158   238.3   186.0    26.6    6.13    1.19    181.6   173.4    12.7    13.9    2.63    0.79     1.6    1.0    0.0   65.61    7.45
 2001 034   162   159   235.5   187.8    22.9    6.09    1.10    181.6   173.6     9.8    13.1    2.57    0.77     1.6    1.0    0.0   68.59    7.52
 2001 035   163   160   233.8   190.0    20.0    6.07    1.03    181.6   174.3     7.6    12.4    2.51    0.76     1.5    1.0    0.0   70.90    7.58
 2001 036   164   161   232.5   191.7    17.8    6.07    0.97    181.6   174.8     5.9    11.8    2.45    0.74     1.5    1.0    0.0   72.69    7.97
 2001 037   165   162   231.2   193.0    16.0    6.07    0.91    181.6   174.8     4.6    11.4    2.40    0.73     1.4    0.9    0.0   74.08    8.41
 2001 038   166   163   230.1   193.2    14.8    6.07    0.88    181.6   174.8     3.7    11.2    2.40    0.73     1.4    0.9    0.0   75.15    8.82
 2001 039   167   164   229.3   193.2    13.9    6.07    0.86    181.6   174.8     2.9    11.0    2.40    0.73     1.4    0.9    0.0   76.01    9.22
 2001 040   168   165   228.6   193.2    13.3    6.07    0.84    181.6   174.8     2.3    10.9    2.41    0.73     1.4    0.9    0.0   76.70    9.58
 2001 041   169   166   228.1   193.2    12.7    6.07    0.82    181.6   174.8     1.9    10.8    2.42    0.74     1.4    0.9    0.0   77.25    9.93
