*GROWTH ASPECTS OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   L#SD   GSTD   LAID   LWAD   SWAD   GWAD   RWAD   CWAD   G#AD    GWGD   HIAD   PWAD   P#AD   WSPD   WSGD   NSTD   EWSD    LN%D   SH%D   HIPD   PWDD   PWTD   SLAD   CHTD   CWID   NWAD   RDPD   RL1D   RL2D   RL3D   RL4D   RL5D   RL6D   RL7D   RL8D   RL9D   RL10   SNW0C   SNW1C
 2000 315    77    74    8.0      1   0.81    305    275      0    238    580      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.70   0.00   0.00      0      0  266.8   0.34   0.15   11.4   1.25   1.06   1.05   1.04   0.44   0.40   0.32   0.23   0.12   0.00   0.00       0      17
 2000 316    78    75    8.2      1   0.89    338    312      0    262    650      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.70   0.00   0.00      0      0  263.1   0.35   0.15   12.6   1.25   1.16   1.15   1.14   0.49   0.44   0.36   0.26   0.13   0.00   0.00       2      18
 2000 317    79    76    8.5      1   0.97    371    351      0    285    723      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.71   0.00   0.00      0      0  262.0   0.36   0.15   13.8   1.25   1.26   1.26   1.24   0.53   0.48   0.39   0.28   0.14   0.00   0.00       4      20
 2000 318    80    77    8.6      1   1.02    399    385      0    305    784      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.72   0.00   0.00      0      0  256.4   0.37   0.15   14.8   1.25   1.35   1.34   1.33   0.57   0.51   0.42   0.30   0.15   0.00   0.00       5      21
 2000 319    81    78    8.7      1   1.04    422    412      0    321    833      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  247.4   0.38   0.15   15.6   1.25   1.42   1.41   1.40   0.60   0.54   0.44   0.32   0.16   0.00   0.00       7      22
 2000 320    82    79    8.8      1   1.06    442    437      0    336    879      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.73   0.00   0.00      0      0  240.0   0.38   0.15   16.3   1.25   1.48   1.48   1.46   0.62   0.56   0.46   0.33   0.17   0.00   0.00       9      23
 2000 321    83    80    8.9      1   1.10    476    479      0    361    956      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.74   0.00   0.00      0      0  231.4   0.38   0.15   17.4   1.25   1.59   1.58   1.57   0.67   0.60   0.49   0.35   0.18   0.00   0.00      11      24
 2000 322    84    81    9.0      1   1.16    519    533      0    392   1052      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.75   0.00   0.00      0      0  223.9   0.39   0.15   18.7   1.25   1.72   1.71   1.70   0.73   0.65   0.53   0.39   0.20   0.00   0.00      14      26
 2000 323    85    82    9.2      1   1.23    566    594      0    425   1159      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.76   0.00   0.00      0      0  217.4   0.39   0.15   20.3   1.25   1.86   1.86   1.85   0.79   0.71   0.58   0.42   0.22   0.00   0.00      18      28
 2000 324    86    83    9.4      1   1.30    611    655      0    458   1266      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.77   0.00   0.00      0      0  213.3   0.40   0.15   22.2   1.25   2.00   2.00   1.99   0.85   0.77   0.63   0.45   0.23   0.00   0.00      23      31
 2000 325    87    84    9.6      3   1.35    652    710      0    488   1362      0     0.0  0.000      0      0  0.000  0.000  0.000  0.000    5.79   0.00   0.00      0      0  206.7   0.41   0.15   20.6   1.25   2.13   2.13   2.11   0.90   0.81   0.67   0.48   0.25   0.00   0.00      27      34
 2000 326    88    85    9.7      3   1.41    700    777      0    522   1478      0     0.0  0.000      1      6  0.000  0.000  0.000  0.000    5.80   0.00   0.00      0      1  201.0   0.42   0.15   19.2   1.25   2.28   2.28   2.26   0.97   0.87   0.71   0.51   0.27   0.00   0.00      33      38
 2000 327    89    86    9.9      3   1.48    742    839      0    553   1584      0     0.0  0.000      3     15  0.000  0.000  0.000  0.000    5.82   0.00   0.00      0      3  199.4   0.43   0.15   17.8   1.25   2.41   2.41   2.39   1.03   0.92   0.75   0.54   0.28   0.00   0.00      40      43
