*WEATHER MODULE DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 29, 2016; 09:16:37

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0405 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   PRED   DYLD   TWLD   SRAD   PARD   CLDD   TMXD   TMND   TAVD   TDYD   TDWD   TGAD   TGRD   WDSD   CO2D
 2000 361   123   38.0   14.1   15.2   30.9   61.8   0.06   35.1   20.7   28.0   30.1   20.7   28.0   30.1   86.4    330
 2000 362   124   19.0   14.1   15.1    9.1   18.2   0.72   28.2   17.2   22.8   24.4   17.2   22.8   24.4   86.4    330
 2000 363   125    0.0   14.0   15.1   16.0   32.0   0.51   26.0   16.1   21.1   22.6   16.1   21.1   22.6   86.4    330
 2000 364   126    3.8   14.0   15.1   15.8   31.6   0.52   23.9   16.0   20.0   21.2   16.0   20.0   21.2   86.4    330
 2000 365   127    0.0   14.0   15.1   29.6   59.2   0.10   26.2   14.5   20.4   22.1   14.5   20.4   22.1   86.4    330
 2000 366   128    0.0   14.0   15.1   30.6   61.2   0.07   29.4   15.9   22.8   24.7   15.9   22.8   24.7   86.4    330
 2001 001   129    0.0   14.0   15.1   31.3   62.6   0.05   29.9   16.5   23.3   25.3   16.5   23.3   25.3   86.4    330
 2001 002   130    0.0   14.0   15.1   30.6   61.2   0.07   30.0   16.2   23.2   25.2   16.2   23.2   25.2   86.4    330
 2001 003   131    0.0   14.0   15.1   30.4   60.8   0.07   32.5   15.8   24.3   26.7   15.8   24.3   26.7   86.4    330
 2001 004   132   12.0   14.0   15.1   19.7   39.4   0.40   33.1   21.9   27.6   29.2   21.9   27.6   29.2   86.4    330
 2001 005   133    0.0   14.0   15.1   30.4   60.8   0.07   32.2   20.6   26.5   28.6   20.6   26.5   28.6   86.4    330
 2001 006   134    3.7   14.0   15.1   29.1   58.2   0.11   33.8   20.9   27.4   29.8   20.9   27.4   29.8   86.4    330
 2001 007   135   47.3   14.0   15.1   11.6   23.2   0.64   28.4   21.3   24.9   26.2   21.3   24.9   26.2   86.4    330
 2001 008   136    0.0   14.0   15.0   20.2   40.4   0.38   28.4   17.8   23.2   25.1   17.8   23.2   25.1   86.4    330
 2001 009   137   21.0   13.9   15.0   26.0   52.0   0.20   29.9   17.4   23.7   26.0   17.4   23.7   26.0   86.4    330
 2001 010   138   17.5   13.9   15.0    9.0   18.0   0.72   22.7   16.1   19.4   20.7   16.1   19.4   20.7   86.4    330
 2001 011   139    0.0   13.9   15.0   32.1   64.2   0.01   22.6   13.0   17.9   19.6   13.0   17.9   19.6   86.4    330
 2001 012   140    0.0   13.9   15.0   31.6   63.2   0.03   23.7    9.9   16.9   19.4    9.9   16.9   19.4   86.4    330
 2001 013   141    2.0   13.9   15.0   23.5   47.0   0.28   27.6   13.1   20.4   23.1   13.1   20.4   23.1   86.4    330
 2001 014   142   21.0   13.9   15.0   17.0   34.0   0.47   30.3   20.4   25.4   27.2   20.4   25.4   27.2   86.4    330
