*PLANT C OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   1        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 1999 356   124   121   7514   39.31    2.23   19.55    8.58    5.97    1.55    9.8   22.2   26.6   22.2    6.31   20.38   31.69
 1999 357   125   122   7610   37.85    1.89   18.87    8.48    4.65    1.88    9.8   22.2   25.2   18.6    6.29   20.12   32.05
 1999 358   126   123   7717   37.37    2.34   17.81    7.95    7.14    1.41    9.7   22.0   31.3   24.0    6.30   20.17   31.92
 1999 359   127   124   7800   38.20    2.53   17.42    7.52    9.24    1.44    9.6   21.7   34.6   27.7    6.35   20.21   31.58
 1999 360   128   125   7817   31.13    2.55   14.27    5.49   10.11    0.79    9.5   21.3   36.9   30.3    6.41   20.24   31.17
 1999 361   129   126   7872   31.00    2.69   13.69    5.66   10.64    0.47    9.3   20.8   36.4   31.4    6.48   20.27   30.73
 1999 362   130   127   7864   17.54    2.39    9.25    3.79    5.08    0.00    9.1   20.3   24.2   22.9    6.45   20.30   30.87
 1999 363   131   128   7901   24.37    2.22   12.42    5.83    4.99    0.00    9.0   19.9   24.1   21.6    6.42   20.28   31.08
 1999 364   132   129   7892   17.32    2.22    9.40    3.75    4.74    0.00    8.8   19.4   24.6   21.9    6.40   20.28   31.22
 1999 365   133   130   7966   36.08    2.16   17.73    8.51    6.01    0.40    8.7   19.0   27.4   21.9    6.38   20.28   31.34
 2000 001   134   131   8055   36.96    2.11   18.15    8.68    6.01    0.71    8.6   18.7   27.6   21.6    6.36   20.27   31.45
 2000 002   135   132   8131   35.47    2.16   17.30    8.32    6.23    0.38    8.4   18.3   28.0   22.2    6.35   20.28   31.52
 2000 003   136   133   8217   36.82    2.12   17.80    8.66    6.30    0.62    8.3   17.9   28.2   22.0    6.34   20.28   31.58
 2000 004   137   134   8280   34.80    2.09   16.94    8.23    6.20    0.39    8.2   17.6   28.3   21.9    6.33   20.28   31.65
 2000 005   138   135   8329   34.69    2.23   16.50    8.09    7.48    0.14    8.0   17.1   30.4   24.6    6.34   20.30   31.58
 2000 006   139   136   8391   35.96    2.17   16.60    8.32    7.91    0.32    7.9   16.7   31.7   24.9    6.35   20.31   31.51
 2000 007   140   137   8447   35.29    2.23   15.94    7.87    8.98    0.23    7.7   16.2   33.2   27.0    6.37   20.33   31.36
 2000 008   141   138   8510   35.72    2.13   15.91    7.85    9.37    0.38    7.5   15.8   34.4   27.3    6.39   20.34   31.22
 2000 009   142   139   8527   28.68    2.17   12.57    6.07    9.36    0.09    7.3   15.3   34.5   28.5    6.42   20.35   31.05
 2000 010   143   140   8569   31.22    2.10   14.04    7.23    8.54    0.00    7.2   14.7   32.2   26.8    6.43   20.36   30.95
 2000 011   144   141   8628   34.36    1.99   15.43    8.10    8.63    0.00    7.0   14.2   32.5   26.3    6.44   20.37   30.88
 2000 012   145   142   8642   30.67    1.95   13.46    6.89    9.01    0.04    6.8   13.7   33.6   27.4    6.46   20.38   30.77
 2000 013   146   143   8696   32.33    1.87   13.85    7.19    9.70    0.12    6.6   13.3   34.7   28.3    6.47   20.39   30.65
 2000 014   147   144   8688   15.04    1.67    8.07    3.02    5.15    0.01    6.5   12.8   23.6   22.4    6.46   20.38   30.71
 2000 015   148   145   8732   27.25    1.52   12.10    6.29    8.02    0.09    6.3   12.4   30.3   26.5    6.49   20.36   30.58
 2000 016   149   146   8774   27.14    1.51   11.81    6.16    8.57    0.07    6.2   12.0   32.1   27.3    6.51   20.34   30.46
 2000 017   150   147   8772   15.46    1.62    7.79    2.67    6.19    0.00    6.0   11.6   27.5   24.6    6.51   20.34   30.47
 2000 018   151   148   8829   30.62    1.17   13.77    7.86    6.95    0.11    5.9   11.3   29.0   23.9    6.52   20.31   30.44
 2000 019   152   149   8896   29.76    1.15   13.31    7.59    6.93    0.10    5.8   11.0   29.0   24.2    6.53   20.29   30.41
 2000 020   153   150   8960   29.36    1.09   12.60    7.27    7.63    0.11    5.7   10.7   31.8   25.4    6.54   20.27   30.34
 2000 021   154   151   9007   25.34    1.12   10.61    5.83    7.77    0.10    5.6   10.4   32.6   26.4    6.56   20.25   30.26
 2000 022   155   152   9020   16.12    1.36    7.68    3.22    5.88    0.01    5.4    9.9   27.0   24.5    6.56   20.25   30.27
 2000 023   156   153   9088   26.84    0.96   11.95    6.91    6.01    0.10    5.3    9.7   27.2   23.2    6.56   20.23   30.27
 2000 024   157   154   9139   22.32    1.07   10.18    5.49    5.65    0.06    5.2    9.3   27.0   23.1    6.56   20.23   30.29
 2000 025   158   155   9230   25.92    0.00   11.44    3.86    5.76    1.36    5.4    9.8   27.3   22.8    6.44   20.46   30.81
 2000 026   159   156   8989   25.04    0.00   10.04    3.03    5.23    3.57    5.8   10.7   27.0   21.5    6.34   20.64   31.26
 2000 027   160   157   8784   20.83    0.54   10.00    3.49    4.87    0.21    5.8   10.2   27.1   21.6    6.25   20.80   31.64
 2000 028   161   158   8617   17.07    0.23    7.52    2.32    5.12    0.28    5.8    9.9   28.2   23.5    6.18   20.93   31.92
 2000 029   162   159   8471   13.69    1.01    5.97    2.33    4.99    0.00    5.5    9.2   29.8   23.8    6.16   20.99   32.04
 2000 030   163   160   8319    6.27    0.91    2.12    0.61    4.53    0.00    5.2    8.5   29.2   24.6    6.16   20.98   32.03
 2000 031   164   161   8202    5.91    0.75    2.52    0.74    3.45    0.00    5.0    8.0   23.7   21.8    6.16   20.98   32.03
 2000 032   165   162   8099    4.12    0.69    1.08    0.31    3.44    0.00    4.7    7.5   24.2   22.4    6.16   20.98   32.03
 2000 033   166   163   8009    2.84    0.63    0.00    0.00    3.54    0.00    4.5    7.0   26.0   23.1    6.16   20.98   32.03
 2000 034   167   164   7934    3.09    0.58    0.05    0.01    3.61    0.00    4.3    6.6   27.0   23.4    6.16   20.98   32.03
 2000 035   168   165   7875    3.37    0.51    0.54    0.15    3.20    0.00    4.0    6.2   26.0   21.8    6.16   20.97   32.03
 2000 036   169   166   7822    2.78    0.48    0.00    0.00    3.62    0.00    3.8    5.9   28.9   23.5    6.16   20.97   32.03
 2000 037   170   167   7777    2.24    0.45    0.00    0.00    4.57    0.00    3.6    5.6   34.2   26.6    6.16   20.97   32.03

*DSSAT Cropping System Model Ver. 4.0.2.000               Aug 23, 2016; 20:22:29

*RUN   2        : UYSB                    
 MODEL          : CRGRO040 - Soybean         
 EXPERIMENT     : UYSB0398 SB    late to create DSS                             
 TREATMENT  1   : UYSB                    

@YEAR DOY   DAS   DAP   TWAD    PHAD    CMAD    CGRD    GRAD    MRAD    CHAD   CL%D   CS%D   TGNN   TGAV    GN%D    GL%D    GC%D
 2000 235     3     0      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   23.3   19.6    0.00    0.00    0.00
 2000 236     4     1      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   20.5   18.4    0.00    0.00    0.00
 2000 237     5     2      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   17.6   17.0    0.00    0.00    0.00
 2000 238     6     3      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   15.3   13.8    0.00    0.00    0.00
 2000 239     7     4      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   14.7   11.5    0.00    0.00    0.00
 2000 240     8     5      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   16.1   10.8    0.00    0.00    0.00
 2000 241     9     6      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0    9.6    6.4    0.00    0.00    0.00
 2000 242    10     7      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   14.6    9.4    0.00    0.00    0.00
 2000 243    11     8      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   18.1   11.9    0.00    0.00    0.00
 2000 244    12     9      0    0.00    0.00    0.00    0.00    0.00    0.00    0.0    0.0   13.2    9.6    0.00    0.00    0.00
 2000 245    13    10      7    0.00    0.00    0.00    0.00    0.00    0.00    4.0    8.0   11.5    6.2    0.00    0.00    0.00
 2000 246    14    11      8    0.05    0.00    0.03    0.01    0.00    0.00    4.0    8.0   12.9    7.1    0.00    0.00    0.00
 2000 247    15    12      8    0.06    0.00    0.04    0.01    0.00    0.00    4.0    7.9   13.9    8.2    0.00    0.00    0.00
 2000 248    16    13      8    0.09    0.00    0.06    0.02    0.00    0.00    3.9    7.9   17.3   11.4    0.00    0.00    0.00
 2000 249    17    14      9    0.09    0.00    0.06    0.02    0.00    0.00    3.9    7.9   16.9   10.2    0.00    0.00    0.00
 2000 250    18    15     10    0.11    0.00    0.07    0.02    0.00    0.00    3.9    7.8   18.3   12.0    0.00    0.00    0.00
 2000 251    19    16     11    0.16    0.00    0.10    0.03    0.01    0.00    3.9    7.8   23.0   17.1    0.00    0.00    0.00
 2000 252    20    17     12    0.19    0.00    0.12    0.04    0.01    0.00    3.8    7.7   24.5   19.7    0.00    0.00    0.00
 2000 253    21    18     12    0.07    0.00    0.05    0.02    0.01    0.00    3.8    7.6   20.7   17.8    0.00    0.00    0.00
 2000 254    22    19     13    0.15    0.00    0.09    0.03    0.01    0.00    3.7    7.5   22.4   19.6    0.00    0.00    0.00
 2000 255    23    20     14    0.11    0.00    0.07    0.02    0.01    0.00    3.7    7.5   20.0   16.3    0.00    0.00    0.00
 2000 256    24    21     14    0.08    0.00    0.05    0.02    0.00    0.00    3.7    7.5   13.4   10.9    0.00    0.00    0.00
 2000 257    25    22     14    0.03    0.00    0.02    0.01    0.00    0.00    3.7    7.5    8.9    7.8    0.00    0.00    0.00
 2000 258    26    23     15    0.04    0.00    0.03    0.01    0.00    0.00    3.7    7.5   10.2    9.2    0.00    0.00    0.00
 2000 259    27    24     15    0.07    0.00    0.04    0.01    0.00    0.00    3.7    7.4   13.7   11.7    0.00    0.00    0.00
 2000 260    28    25     16    0.13    0.00    0.09    0.03    0.01    0.00    3.7    7.4   15.6   13.5    0.00    0.00    0.00
 2000 261    29    26     17    0.16    0.00    0.10    0.03    0.01    0.00    3.7    7.4   17.5   13.4    0.00    0.00    0.00
